review_id,star_rating,helpful_votes,total_votes,vine,verified_purchase
RPJ7C4HP3BHXN,5.0,25.0,29.0,Y,N
R3SB08XK0M7993,4.0,44.0,49.0,Y,N
R26X1DACMCN3YF,3.0,16.0,21.0,Y,N
R17HKKDE9ZRVOO,4.0,31.0,35.0,Y,N
R1R7GNSCMO8U7I,4.0,24.0,28.0,Y,N
R2T83WIPG3IX5D,4.0,72.0,76.0,Y,N
RD006IWFCUA5A,5.0,122.0,133.0,Y,N
REOQCBUVUPXP1,4.0,23.0,27.0,Y,N
R2336R80ZEOKTX,5.0,63.0,63.0,Y,N
RC1ZXE5GVL9TA,4.0,20.0,23.0,Y,N
R2J7WSJ8EX3D5S,5.0,30.0,32.0,Y,N
R2QSLH5GY4OMNH,5.0,44.0,45.0,Y,N
R2A0F7MYQGBPEG,4.0,33.0,40.0,Y,N
R140DK42LYQWL,4.0,62.0,65.0,Y,N
R3HJAGVD491IFV,5.0,105.0,105.0,Y,N
R2N6KZ8A8T26IR,1.0,24.0,26.0,Y,N
R2AUGMTZKSPJST,5.0,19.0,21.0,Y,N
R1C3PCFS00UHBA,5.0,25.0,26.0,Y,N
RY1C7QLDFKZPG,5.0,26.0,26.0,Y,N
R1O5J8O83PI4Q,4.0,24.0,24.0,Y,N
R1MZ7RY5264PE4,5.0,38.0,38.0,Y,N
