review_id,star_rating,helpful_votes,total_votes,vine,verified_purchase
R2F0QWDSFE4FWH,3.0,1992.0,2030.0,N,N
R1388A5JLKT2BY,5.0,1027.0,1059.0,N,Y
R17EFWJBACTRH,5.0,1010.0,1014.0,N,Y
R2ZS9AUN31WJLR,5.0,926.0,948.0,N,N
R1AGAG6A6WKO8L,5.0,922.0,937.0,N,Y
R1CHOWQSXF4OT2,4.0,895.0,921.0,N,Y
R24E1CH0MH069W,2.0,726.0,767.0,N,Y
R3L7YM0A9KI364,5.0,749.0,761.0,N,N
RIUE7PEQNJ995,5.0,744.0,751.0,N,Y
R1XJT1MPQH1V6J,1.0,711.0,728.0,N,Y
R3MNRB55VTFBEL,5.0,719.0,727.0,N,Y
R354XRJBXDZ3F7,3.0,646.0,695.0,N,Y
R4XRILWA0IC3C,5.0,673.0,680.0,N,Y
R4X9G1I6XMSI4,5.0,653.0,678.0,N,Y
R2U3ZKXQKN2UPX,5.0,640.0,662.0,N,Y
RV2EDPOC437FL,5.0,638.0,647.0,N,Y
R86ZZP0JKRKTM,3.0,636.0,645.0,N,Y
R18AB7GB34623Q,3.0,568.0,644.0,N,Y
RHAY26QJELHW3,5.0,609.0,640.0,N,Y
R1P0KMB652U30A,5.0,635.0,639.0,N,Y
R1086QM26AJ9UQ,5.0,618.0,637.0,N,Y
R3SXSKM6RCMGPE,5.0,617.0,629.0,N,Y
ROJRDDXMNPLSF,5.0,597.0,605.0,N,Y
R6F6O05X3CUEQ,4.0,586.0,591.0,N,N
R2HC2M9COCEVSN,5.0,579.0,588.0,N,Y
R1Y4UWV377BLUU,4.0,576.0,587.0,N,N
RX4OGFTLFEKYX,5.0,574.0,581.0,N,Y
R2NS7RR4MHCS5K,4.0,562.0,580.0,N,Y
R1NHYC988E11IJ,5.0,572.0,576.0,N,Y
RWC7VGU9GXAYN,5.0,536.0,562.0,N,Y
R1RFBGL8P05W6B,5.0,545.0,556.0,N,N
R293C1Z6Y95GDY,5.0,514.0,544.0,N,Y
R3LLY2O13QH81P,4.0,489.0,538.0,N,Y
R9Q5A4O7EWAHC,5.0,500.0,533.0,N,Y
R3PEVI8VVZ9LJZ,5.0,481.0,527.0,N,N
R3UBD0GXU5K6FU,5.0,520.0,525.0,N,Y
R1GZCA991NYFK9,5.0,496.0,518.0,N,N
R13KK6RUCO1KN5,2.0,508.0,517.0,N,Y
R21DUDR0U6M57G,5.0,495.0,517.0,N,Y
R259C0LXJ7PK5M,4.0,486.0,505.0,N,Y
R3QE5T0W7SI2EV,1.0,451.0,492.0,N,Y
R3AF634ZT086AJ,2.0,465.0,481.0,N,Y
R15DYPFOA0LQ4F,4.0,466.0,478.0,N,Y
R2YRI17NMBGLOS,2.0,467.0,477.0,N,N
R1Z5CU56Q80U80,4.0,444.0,476.0,N,N
RMP9B0PW52Q80,4.0,454.0,474.0,N,Y
R1XM6KBN9PS6VB,5.0,443.0,473.0,N,Y
R3BP19X1K29X06,5.0,458.0,470.0,N,Y
RZGI8JJVDJGZ1,4.0,450.0,461.0,N,Y
R3LSJQOPO9TK1B,5.0,446.0,457.0,N,Y
R2LUXAJYPUF1IY,5.0,450.0,453.0,N,Y
R276TIDFCR2TR0,5.0,412.0,453.0,N,Y
R2N6PRTREPQTAO,5.0,432.0,451.0,N,Y
R2OXFR88YBPV5T,3.0,445.0,450.0,N,Y
RGV0JMPVRK371,5.0,434.0,445.0,N,Y
R2TIW1ARL1KGVY,5.0,394.0,443.0,N,N
R16X67622YJJQ6,5.0,427.0,442.0,N,Y
RY04724X4N7YN,4.0,428.0,440.0,N,Y
R34JTDDTHO7HVE,2.0,428.0,435.0,N,Y
R3OX0A46Z9LQUY,3.0,407.0,420.0,N,Y
R1NGRM8UV2ZMAE,5.0,413.0,419.0,N,N
RIIVSLI9CUNKE,5.0,402.0,416.0,N,Y
R12XXWIHXG9LX0,1.0,389.0,414.0,N,Y
R2WPT53A0XL4L,5.0,404.0,413.0,N,Y
RA2LFW3Y5OUB3,4.0,401.0,408.0,N,Y
RV3S1L5670XXV,5.0,388.0,407.0,N,Y
R2UPT1U5H8HYG8,5.0,398.0,405.0,N,Y
R3L8Z7PXD7FLE8,5.0,398.0,401.0,N,Y
R3LEI0Q0ZKANE3,5.0,390.0,398.0,N,Y
R150QNZ8EZKY8U,5.0,381.0,395.0,N,Y
R1RFK9S5GATWGJ,4.0,380.0,391.0,N,Y
R3RCRN7ZZ4TIB6,5.0,383.0,389.0,N,Y
R2FN0R4R1HCRMZ,1.0,350.0,389.0,N,N
R17AJ81OJU0895,5.0,372.0,381.0,N,Y
R6U4OBDHLN324,5.0,376.0,377.0,N,Y
R8PG9QKA0X76P,3.0,351.0,371.0,N,Y
RNNKCJYZ0BGGL,5.0,356.0,368.0,N,Y
R11R61DE4BF74M,2.0,332.0,364.0,N,N
R1DWIU354IYMZO,5.0,351.0,363.0,N,Y
R2TMDCV4VIH1S,5.0,333.0,357.0,N,N
R1NFN8Z5VWQWS5,2.0,334.0,356.0,N,N
RNGYK81W72B1A,5.0,339.0,353.0,N,Y
R1V65JNRFG9NJH,5.0,341.0,351.0,N,Y
R1N052WAIXN6SI,1.0,312.0,349.0,N,Y
R28KW72I5B78U5,5.0,314.0,344.0,N,Y
R2UC47LSEQRPYB,5.0,338.0,344.0,N,Y
RETVPNO1MJHK1,3.0,333.0,342.0,N,N
RQBYAY32H5FKR,5.0,318.0,342.0,N,N
R3IGUPROCG37Y3,5.0,321.0,340.0,N,Y
R3A78B54BH46VZ,3.0,338.0,340.0,N,Y
RQPXX12G3DHIQ,5.0,335.0,338.0,N,N
R149W74T49EHFM,5.0,326.0,338.0,N,N
R224U0ABGXOBAO,5.0,305.0,337.0,N,Y
R20MYJUHZAO8TR,5.0,314.0,335.0,N,Y
R3PR5DH4WIU95M,5.0,331.0,335.0,N,Y
R3IBDXYW2R2R44,1.0,314.0,335.0,N,Y
R23N332EZGHLYO,5.0,320.0,334.0,N,Y
R34WJ2M6VG4T8O,5.0,326.0,332.0,N,Y
R1LGYFEL1IJV5T,3.0,321.0,326.0,N,Y
R39A0ASEZ4IG2Y,5.0,308.0,325.0,N,N
R286MT6KSXMMDR,5.0,317.0,324.0,N,N
RHUSTAFAOXMCM,5.0,310.0,322.0,N,Y
R3VUMK3FU7ZT1M,3.0,273.0,315.0,N,Y
R3K40QDYTWEI3N,5.0,307.0,313.0,N,Y
R1Z3VXCYIKCHLV,5.0,306.0,312.0,N,Y
RORY4GGN2X77K,5.0,303.0,310.0,N,N
R2C7JEBY1NTZ8U,5.0,299.0,309.0,N,N
R1GEGPNBEH7J4,5.0,300.0,308.0,N,Y
R18Q4JZMRW61Q7,4.0,288.0,305.0,N,Y
RUP61YF2KM6Q3,5.0,300.0,304.0,N,Y
R2X4AB77C14ZZL,5.0,303.0,303.0,N,Y
R3867YCCYN9991,1.0,268.0,301.0,N,Y
R3VB5RL3ISRFH6,5.0,286.0,298.0,N,Y
RQ3MDDUDLD9JA,4.0,272.0,298.0,N,Y
R2I0Q80ZHRGV5K,4.0,283.0,297.0,N,Y
R1XCQY100SKT9E,5.0,283.0,297.0,N,Y
R2GTXEXU2DVGZ2,4.0,289.0,297.0,N,Y
R12NSHU9CJ861F,3.0,295.0,296.0,N,N
R14E3QKUGWRIKY,5.0,288.0,295.0,N,Y
R2FAK8VFFVGUZE,5.0,292.0,295.0,N,Y
R3OI64OIVP6S8Z,5.0,290.0,293.0,N,N
RRL13ORRFP8CX,5.0,286.0,292.0,N,Y
R53GMLTI6HRSH,3.0,279.0,292.0,N,Y
R2I2W813NB9J7X,2.0,283.0,291.0,N,Y
R1A8GFSVW113IR,5.0,284.0,291.0,N,Y
R2BQ0WC5RE6QFI,4.0,278.0,289.0,N,Y
R2BRY2RFHN6NB2,5.0,282.0,286.0,N,Y
RCXB76QJ97QUD,4.0,277.0,285.0,N,Y
RLUAU2S8YJW56,5.0,278.0,285.0,N,Y
RF6VK9KP05NIK,5.0,280.0,282.0,N,Y
R37WB9EXSXXAY0,5.0,275.0,281.0,N,Y
R128ZS160UMJJF,5.0,276.0,279.0,N,Y
R1QFT56N3SRGHD,5.0,271.0,277.0,N,Y
R34J6VR5HHPDYL,1.0,270.0,277.0,N,Y
R36XJ1BDQVRRXY,1.0,264.0,277.0,N,Y
R2C3U4BQQLV2BF,1.0,248.0,275.0,N,Y
R3F6GA25PYFZMY,5.0,265.0,274.0,N,Y
R2ATSLJ0GWP97Z,5.0,255.0,273.0,N,Y
R28S7CLPUSK46W,4.0,264.0,272.0,N,Y
R3KJSSBHV6A124,2.0,265.0,271.0,N,N
R27RYCWU2LRZ34,3.0,257.0,271.0,N,N
RP9WVYZJ0RVCQ,5.0,269.0,271.0,N,Y
R2646BQZLHIQTC,1.0,232.0,270.0,N,Y
R19K0CYI4ZVJYR,5.0,250.0,269.0,N,Y
R1FYWW0DRSU06S,5.0,253.0,266.0,N,N
R68STY7VHGTHI,5.0,264.0,266.0,N,Y
R2UCEB515BHNWF,1.0,235.0,266.0,N,Y
R25TH2Z2AFNPRH,4.0,259.0,266.0,N,Y
R2Z59GA6ABIEMG,1.0,241.0,266.0,N,N
R2UYVLM6EMGU74,3.0,236.0,266.0,N,Y
R3KFHYHPIB464C,4.0,247.0,264.0,N,Y
R1KLGQEOZ9UA4G,5.0,257.0,264.0,N,Y
R3CNN65AVRVMZE,5.0,248.0,263.0,N,Y
RP2EXPLPA6BF4,5.0,254.0,263.0,N,Y
R3IWOY2SFFZ3GJ,5.0,260.0,262.0,N,Y
R28JQIBUOADDS8,3.0,245.0,262.0,N,Y
R1P5JEWQF6D7V1,1.0,239.0,261.0,N,Y
R3CKOOUJE4M4UG,5.0,250.0,261.0,N,Y
R2N0RPQRRTM2E,1.0,210.0,260.0,N,Y
R1Q8SCMSVYJELW,5.0,251.0,260.0,N,Y
R1YIIIJCEVMVFS,1.0,246.0,259.0,N,Y
R1C16HAFSQCZBT,3.0,246.0,259.0,N,N
R1BGZ0A55AUNSI,5.0,248.0,258.0,N,Y
RJF8GUE1Q6MID,4.0,243.0,258.0,N,Y
R38IRVEVGP6UEY,5.0,245.0,258.0,N,Y
R3BF92IJ3XF1JD,1.0,252.0,257.0,N,Y
R28S2PP1D1NLFE,5.0,249.0,255.0,N,Y
R3PUMV1MS9RMTE,5.0,252.0,255.0,N,Y
R30QECNDDBWBPW,5.0,244.0,254.0,N,N
R2SFCIBOOB7G4P,5.0,231.0,253.0,N,Y
RO1VQQEKHMNHZ,4.0,242.0,252.0,N,N
R2LQK368IK9L6B,4.0,243.0,252.0,N,Y
R25XJL94GF8FUQ,1.0,236.0,251.0,N,N
R1YPS4G8GX6F91,1.0,236.0,250.0,N,Y
R1I0OIJ4YAVLDJ,4.0,246.0,250.0,N,N
R33C4G9470GV9Z,5.0,248.0,248.0,N,Y
R2TFXFC2EFMCZX,3.0,222.0,248.0,N,N
R1M3TLUW34ZLTV,2.0,230.0,248.0,N,N
R2VD94BIG42ZVX,5.0,243.0,247.0,N,Y
R1M6QL3AKTGGFI,5.0,235.0,247.0,N,Y
R2KX1ZNW42R9YH,1.0,225.0,247.0,N,Y
R3MNW5EU39SEN5,4.0,241.0,246.0,N,Y
R2KA0JCNN5CDDS,3.0,237.0,244.0,N,Y
R2SBGKX3OUUF10,4.0,234.0,243.0,N,Y
R1CTNIV4JPRI2U,4.0,232.0,242.0,N,N
R3QRHQNWXZTIGI,5.0,238.0,242.0,N,Y
R3AA7C2NUUSX5,5.0,241.0,242.0,N,N
R1OANNPDHJ8JR,5.0,225.0,242.0,N,Y
RLW7UADFD6V94,5.0,230.0,241.0,N,Y
R1IGXINMF1UVT6,5.0,223.0,239.0,N,Y
R22TSQ5VNV2K9B,1.0,219.0,239.0,N,Y
R17W2FFCYS628P,5.0,219.0,238.0,N,N
R1VYIX62F51ZTM,2.0,199.0,237.0,N,Y
R2FXVOADDZLR6C,4.0,209.0,236.0,N,Y
R21YIJAC2AA3WG,5.0,212.0,235.0,N,N
R2TQ0L3FYJM38S,5.0,219.0,235.0,N,Y
RSO414V2TNT2W,5.0,228.0,235.0,N,Y
R3DC4K4S6VH440,5.0,225.0,235.0,N,Y
R5XY2G0N54UA7,5.0,228.0,234.0,N,Y
R1YJS5FDR9YEAB,2.0,221.0,233.0,N,Y
R9QX5LT25J6Q5,5.0,214.0,232.0,N,Y
RISM8GB70SC9W,5.0,221.0,232.0,N,Y
R3OVE18MK2OXL9,1.0,192.0,230.0,N,Y
R2P6U6C8QPKW4M,5.0,221.0,228.0,N,N
RBRO0DQUNBLTC,2.0,213.0,227.0,N,Y
R39ZLSNI2JG43R,5.0,221.0,227.0,N,Y
R3EZRFVMBHZP0P,2.0,221.0,225.0,N,Y
R2KWOVY6396NVC,1.0,205.0,225.0,N,Y
RSW6OZ29K76AM,4.0,220.0,222.0,N,N
R356AWKLYPPWFI,5.0,215.0,222.0,N,Y
R2JCCJPBCALD2N,5.0,216.0,222.0,N,Y
R4VYFXVZJI1OY,1.0,188.0,221.0,N,Y
R1Y3E62G3QNLPS,1.0,217.0,221.0,N,Y
RZ1URVWDIKPHS,1.0,215.0,221.0,N,Y
R1G0GOZ8VQ6C2Y,5.0,208.0,220.0,N,Y
